dmu,AcomeA_PMITALIA_ESG_A1,Acomea_Pmitalia_Esg_P2,Allianz_Azioni_Italia_All_Stars_A,Albemarle_Target_Italy_A,Algebris_Ucits_Funds_Plc_Algebris_Core_Italy_Fund_R_Eur_Acc,Amundi_Impegno_Italia_B,Amundi_Sviluppo_Attivo_Italia_A,Anima_Iniziativa_Italia_A,Anima_Italia_A,Arca_Azioni_Italia_P,Azimut_Trend_Italia,Bnl_Azioni_Italia,Eurizon_Azioni_Italia_R,Fidelity_Funds_Italy_Fund_A-acc-eur,Fideuram_Italia_R,Mediolanum_Challenge_Italian_Equity_Fund_L_Acc,Mediolanum_Flessibile_Futuro_Italia_La,Zenit_Pianeta_Italia_R,Schroder_International_Selection_Fund_Italian_Equity_A_Accumulation_Eur,Investimenti_Azionario_Italia_A,Interfund_Equity_Italy,Fonditalia_Equity_Italy_R,Abrdn_Sicav_I_Euro_Government_Bond_Fund_A_Acc_Eur,Amundi_Euro_Government_Bond_Ae,Anima_Tricolore_A,Blackrock_Euro_Government_Enhanced_Index_Fund_Flexible_Eur_Acc,Bluebay_Funds_Bluebay_Investment_Grade_Euro_Government_Bond_Fund_R_Eur_Acc,Dws_Eurorenta,Arca_Bb,Anima_Visconteo_Plus_A,Anima_Visconteo_Plus_Ad,Arca_Economia_Reale_Bilanciato_Italia_55_Pir,Azimut_Dinamico,Bancoposta_Rinascimento_A,Carmignac_Portfolio_Patrimoine_Europe_A_Eur_Acc,Epsilon_Dlongrun,Eurizon_Am_Sicav_Low_Carbon_Euro_R_Cap,Eurizon_Bilanciato_Euro_Multimanager,Fideuram_Bilanciato,Ubs_lux_Key_Selection_Sicav_European_Growth_And_Income_eur_P_acc,Fidelity_Funds_European_Multi_Asset_Income_Fund_A_acc_eur
AcomeA_PMITALIA_ESG_A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333348396387277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666665160361272,0.0,0.0
Acomea_Pmitalia_Esg_P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Allianz_Azioni_Italia_All_Stars_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albemarle_Target_Italy_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20175423423423422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7982457657657657,0.0,0.0
Algebris_Ucits_Funds_Plc_Algebris_Core_Italy_Fund_R_Eur_Acc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amundi_Impegno_Italia_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6969691528925372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30303084710746275,0.0,0.0
Amundi_Sviluppo_Attivo_Italia_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.0,0.0
Anima_Iniziativa_Italia_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48717963515902907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5128203648409709,0.0,0.0
Anima_Italia_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333330205762861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666697942371386,0.0,0.0
Arca_Azioni_Italia_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5119048636306929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48809513636930707,0.0,0.0
